customer_id,full_name,gender,age,state,job_classification,date_joined,balance,marital,education,houseloan,otherloan,contact,poutcome,loan_default,month_num,month_name
19,Pauline  Beck,Male,40,California,Blue Collar,2017-01-15,97811.49,single,primary,yes,no,unknown,unknown,no,1,January
20,Shari  Silva,Female,46,California,Blue Collar,2017-01-15,17106.94,married,secondary,no,no,cellular,other,no,1,January
21,Jenny  Garcia,Male,37,Wyoming,Other,2017-01-16,47429.72,divorced,unknown,yes,no,cellular,unknown,no,1,January
22,Ben  Perez,Male,58,Nevada,Blue Collar,2017-01-18,31719.37,divorced,tertiary,no,no,cellular,unknown,no,1,January
23,Cassandra  Franklin,Female,41,Wyoming,White Collar,2017-01-18,99678.79,single,secondary,no,no,unknown,unknown,no,1,January
24,Elaine  Ellis,Male,52,Nevada,Blue Collar,2017-01-19,9820.63,married,secondary,no,no,cellular,unknown,no,1,January
25,Beth  Tucker,Female,38,California,White Collar,2017-01-20,30603.48,married,tertiary,no,no,cellular,unknown,no,1,January
26,Cassandra  Franklin,Male,55,Nevada,Blue Collar,2017-01-21,64549.66,married,tertiary,no,no,cellular,unknown,no,1,January
27,Colleen  Warren,Female,37,Oregon,White Collar,2017-01-23,5919.72,married,primary,yes,no,unknown,unknown,no,1,January
28,Cassandra  Franklin,Female,33,California,White Collar,2017-01-25,5115.78,married,unknown,no,no,telephone,failure,no,1,January
29,Cassandra  Franklin,Male,50,Nevada,Blue Collar,2017-01-25,30619.57,married,secondary,no,yes,cellular,unknown,no,1,January
30,Nellie  Joseph,Male,42,California,White Collar,2017-01-27,16138.57,married,secondary,no,yes,cellular,unknown,no,1,January
31,Guillermo  Potter,Female,25,California,White Collar,2017-01-28,58042.94,divorced,secondary,no,no,telephone,unknown,yes,1,January
32,Lynette  Brewer,Male,30,Wyoming,White Collar,2017-01-28,21034.36,married,secondary,no,no,cellular,unknown,no,1,January
33,Rachel  Gomez,Female,58,Nevada,Other,2017-01-29,38603.3,married,secondary,no,no,cellular,unknown,no,1,January
34,Lance  Yates,Male,26,California,Other,2017-01-30,8705.42,single,tertiary,yes,no,cellular,unknown,yes,1,January
35,Arturo  Francis,Female,34,California,Blue Collar,2017-01-31,116132.24,married,tertiary,no,no,cellular,unknown,yes,1,January
36,Lula  Daniels,Female,36,California,White Collar,2017-01-31,47283.1,divorced,secondary,yes,no,unknown,unknown,no,1,January
37,Bethany  Pena,Female,33,California,White Collar,2017-01-31,30602.06,divorced,primary,no,no,telephone,unknown,yes,1,January
38,Robert  Munoz,Male,31,California,Other,2017-01-31,8488.61,married,secondary,yes,no,cellular,unknown,yes,1,January
39,Shari  Silva,Male,35,Nevada,Blue Collar,2017-01-31,19175.52,married,secondary,yes,no,cellular,failure,yes,1,January
40,Cindy  Becker,Male,59,Nevada,Other,2017-01-31,170828.72,single,tertiary,yes,no,unknown,unknown,no,1,January
41,Guillermo  Potter,Male,27,California,Blue Collar,2017-02-01,76733.75,single,tertiary,yes,no,unknown,failure,no,2,February
42,Sandra  Floyd,Female,35,California,White Collar,2017-02-01,14469.72,single,tertiary,no,no,cellular,unknown,no,2,February
43,Billie  Chandler,Male,49,Nevada,Blue Collar,2017-02-01,170179.43,married,secondary,yes,no,cellular,unknown,no,2,February
44,Isabel  Cross,Female,22,Oregon,Other,2017-02-01,160786.69,married,tertiary,yes,no,cellular,unknown,no,2,February
45,Bernadette  Page,Female,53,California,Other,2017-02-03,4316.72,single,tertiary,yes,no,cellular,unknown,no,2,February
46,Andrew  Meyer,Female,47,Nevada,Other,2017-02-03,81475.55,single,tertiary,yes,no,unknown,unknown,no,2,February
47,Lee  Mack,Female,32,Nevada,Other,2017-02-03,88806.93,married,primary,no,no,telephone,other,no,2,February
48,Bobbie  Ryan,Female,19,Oregon,Other,2017-02-08,21398.25,married,primary,yes,no,unknown,unknown,no,2,February
49,Trevor  Jones,Male,27,California,White Collar,2017-02-12,35702.84,single,primary,yes,yes,cellular,unknown,no,2,February
50,Eric  Rose,Male,39,California,White Collar,2017-02-12,58258.43,married,unknown,yes,no,cellular,success,yes,2,February
51,Donna  Reid,Female,29,California,Blue Collar,2017-02-12,2090.21,divorced,primary,no,no,unknown,unknown,yes,2,February
52,Ivan  Adkins,Female,31,California,Blue Collar,2017-02-12,62127.25,single,secondary,yes,no,cellular,unknown,no,2,February
53,Billie  Chandler,Female,37,California,Other,2017-02-12,70971.21,single,secondary,no,no,cellular,unknown,no,2,February
54,Jenny  Garcia,Female,32,California,White Collar,2017-02-12,36099.99,married,tertiary,yes,no,cellular,other,yes,2,February
55,Andrew  Meyer,Male,24,California,White Collar,2017-02-12,7330.18,married,secondary,yes,no,cellular,unknown,no,2,February
56,Brooke  Horton,Male,40,California,White Collar,2017-02-12,87149.94,married,secondary,yes,no,telephone,unknown,no,2,February
57,Max  Rodgers,Female,33,California,Blue Collar,2017-02-12,86616.27,married,secondary,no,yes,telephone,unknown,no,2,February
58,Eric  Rose,Male,44,California,White Collar,2017-02-12,53477.93,single,tertiary,no,no,cellular,unknown,no,2,February
59,Rachel  Gomez,Male,39,California,Other,2017-02-12,2804.27,single,secondary,yes,yes,unknown,unknown,no,2,February
60,Max  Rodgers,Male,47,California,White Collar,2017-02-12,34887.43,divorced,secondary,yes,yes,unknown,unknown,no,2,February
61,Robert  Munoz,Female,35,California,White Collar,2017-02-12,6843.64,married,primary,no,yes,telephone,unknown,no,2,February
62,Don  Gonzales,Female,47,California,Other,2017-02-12,30351.96,married,secondary,yes,no,cellular,unknown,no,2,February
63,Cecilia  Manning,Male,47,California,White Collar,2017-02-12,33453.64,married,tertiary,no,no,cellular,unknown,no,2,February
64,Cindy  Becker,Female,39,California,White Collar,2017-02-12,60155.6,married,secondary,no,no,cellular,unknown,no,2,February
65,Brooke  Horton,Female,50,Nevada,Other,2017-02-12,27000.55,married,secondary,no,no,cellular,unknown,no,2,February
66,Ivan  Adkins,Male,43,Nevada,Blue Collar,2017-02-12,29963.9,divorced,secondary,yes,no,cellular,failure,no,2,February
67,Christina  Fuller,Male,47,Nevada,Blue Collar,2017-02-12,7909.67,married,secondary,yes,no,cellular,unknown,no,2,February
68,Peter  Hodges,Male,61,Nevada,Blue Collar,2017-02-12,10688.72,married,secondary,yes,no,cellular,unknown,no,2,February
69,Ben  Perez,Male,53,Nevada,Blue Collar,2017-02-12,53358.78,married,secondary,no,yes,cellular,unknown,no,2,February
70,Andrew  Meyer,Male,45,Nevada,Other,2017-02-12,22407.12,single,tertiary,no,no,cellular,unknown,no,2,February
71,Peter  Hodges,Male,49,Nevada,Blue Collar,2017-02-12,104537.99,married,tertiary,no,no,cellular,success,yes,2,February
72,Billie  Chandler,Female,51,Nevada,Other,2017-02-12,53636.4,divorced,tertiary,yes,no,unknown,unknown,no,2,February
73,Robert  Munoz,Female,36,Wyoming,White Collar,2017-02-12,61852.4,single,tertiary,yes,no,unknown,unknown,no,2,February
74,Salvador  Bass,Male,45,Wyoming,Other,2017-02-12,54770.04,married,tertiary,yes,no,unknown,unknown,no,2,February
75,Salvador  Bass,Female,30,Oregon,White Collar,2017-02-12,29.91,married,secondary,yes,no,unknown,unknown,no,2,February
76,Bobbie  Ryan,Male,44,Nevada,Blue Collar,2017-02-24,86920.39,divorced,tertiary,no,no,cellular,unknown,no,2,February
77,Andrew  Meyer,Male,38,California,White Collar,2017-03-09,42549.96,divorced,secondary,yes,no,cellular,other,no,3,March
78,Drew  Rogers,Female,36,California,Other,2017-03-10,57782.78,single,secondary,no,yes,cellular,unknown,no,3,March
79,Isabel  Cross,Female,23,Wyoming,Blue Collar,2017-03-15,10999.3,divorced,primary,no,no,cellular,unknown,no,3,March
80,Della  Jensen,Male,34,California,White Collar,2017-03-16,364.88,married,secondary,yes,no,cellular,failure,no,3,March
81,Lorraine  Gibson,Female,36,California,White Collar,2017-03-16,89454.87,divorced,secondary,yes,no,cellular,unknown,yes,3,March
82,Shari  Silva,Male,20,California,White Collar,2017-03-16,17348.31,married,primary,no,no,cellular,unknown,no,3,March
83,Drew  Rogers,Male,31,California,Blue Collar,2017-03-16,13948.76,single,secondary,yes,yes,cellular,unknown,no,3,March
84,Iris  Underwood,Male,42,California,White Collar,2017-03-16,65327.43,married,secondary,no,no,telephone,failure,yes,3,March
85,Drew  Rogers,Female,38,California,White Collar,2017-03-16,94986.87,married,tertiary,no,no,cellular,unknown,yes,3,March
86,Jenny  Garcia,Male,39,California,White Collar,2017-03-16,34074.76,married,primary,yes,no,unknown,unknown,no,3,March
87,Lorraine  Gibson,Male,41,California,Other,2017-03-16,7232.21,single,secondary,no,yes,cellular,unknown,no,3,March
88,Elaine  Ellis,Female,24,California,White Collar,2017-03-16,106821.69,single,primary,yes,no,unknown,unknown,no,3,March
89,Eric  Rose,Female,24,California,White Collar,2017-03-16,63296.87,married,secondary,yes,no,cellular,unknown,no,3,March
90,Isabel  Cross,Female,35,California,White Collar,2017-03-16,6259.07,married,secondary,yes,no,unknown,unknown,no,3,March
91,Billie  Chandler,Male,35,California,White Collar,2017-03-16,112854.76,married,primary,no,no,cellular,unknown,no,3,March
92,Woodrow  Colon,Female,26,California,White Collar,2017-03-16,42665.81,married,primary,yes,no,unknown,unknown,no,3,March
93,Edwin  Malone,Male,23,California,White Collar,2017-03-16,21937.4,single,secondary,yes,no,cellular,unknown,yes,3,March
94,Paulette  Spencer,Female,38,California,Other,2017-03-16,65721.3,single,tertiary,no,no,cellular,unknown,no,3,March
95,Cassandra  Franklin,Female,30,California,White Collar,2017-03-16,82157.25,married,secondary,no,no,cellular,unknown,no,3,March
96,Allan  Ramos,Male,28,California,White Collar,2017-03-16,100713.46,single,tertiary,no,no,cellular,unknown,no,3,March
97,Eric  Rose,Female,38,California,Blue Collar,2017-03-16,92372.93,married,tertiary,yes,no,unknown,unknown,no,3,March
98,Cassandra  Franklin,Female,36,California,White Collar,2017-03-16,2133.75,single,tertiary,no,no,cellular,failure,no,3,March
99,Della  Jensen,Male,40,Nevada,Blue Collar,2017-03-16,8143.09,divorced,secondary,no,no,cellular,success,no,3,March
100,Shari  Silva,Female,56,Nevada,Other,2017-03-16,19776.54,single,primary,no,no,cellular,unknown,yes,3,March
101,Austin  Reynolds,Male,51,Nevada,Blue Collar,2017-03-16,177632.66,married,secondary,yes,no,unknown,unknown,no,3,March
102,Dan  Peterson,Female,44,Nevada,White Collar,2017-03-16,28102.69,single,tertiary,yes,no,cellular,failure,no,3,March
103,Elbert  Klein,Female,55,Nevada,White Collar,2017-03-16,53638.88,married,secondary,no,no,telephone,unknown,no,3,March
104,Nellie  Joseph,Female,57,Nevada,Other,2017-03-16,33858.22,single,primary,yes,no,telephone,unknown,no,3,March
105,Robert  Munoz,Male,48,Nevada,White Collar,2017-03-16,127025.51,single,secondary,no,no,unknown,unknown,no,3,March
106,Herman  Williams,Female,54,Nevada,Other,2017-03-16,67122.45,single,tertiary,yes,no,cellular,failure,no,3,March
107,Cassandra  Franklin,Male,36,Nevada,Blue Collar,2017-03-16,18829.03,married,secondary,yes,yes,unknown,unknown,no,3,March
108,Woodrow  Colon,Male,48,Nevada,Blue Collar,2017-03-16,35686.39,married,tertiary,yes,no,cellular,unknown,no,3,March
109,Willie  Vega,Male,63,Nevada,Other,2017-03-16,109642.87,married,primary,no,no,cellular,unknown,yes,3,March
110,Cassandra  Franklin,Male,63,Nevada,Blue Collar,2017-03-16,39512.3,married,primary,yes,no,cellular,unknown,no,3,March
111,Lorraine  Gibson,Female,25,Wyoming,Other,2017-03-16,105669.63,single,secondary,no,no,cellular,success,yes,3,March
112,Christina  Fuller,Male,26,Wyoming,White Collar,2017-03-16,30786.06,married,tertiary,yes,no,telephone,unknown,no,3,March
113,Ivan  Adkins,Male,29,Oregon,White Collar,2017-03-16,122729.15,married,secondary,yes,yes,cellular,unknown,no,3,March
114,Brooke  Horton,Female,18,Oregon,Other,2017-03-16,76373.58,single,secondary,no,no,cellular,failure,no,3,March
115,Robert  Munoz,Female,43,Oregon,Blue Collar,2017-03-16,56549.84,single,secondary,no,no,telephone,unknown,yes,3,March
116,Robert  Munoz,Female,36,California,Other,2017-03-19,32545.24,single,secondary,no,yes,cellular,unknown,yes,3,March
117,Edwin  Malone,Female,40,California,Other,2017-03-25,18529.12,married,secondary,yes,no,cellular,unknown,no,3,March
118,Tracy  Reed,Male,52,Nevada,Other,2017-03-28,101017.81,single,secondary,no,yes,cellular,unknown,no,3,March
119,Rachel  Gomez,Female,18,California,White Collar,2017-03-31,50034.96,married,primary,no,no,cellular,unknown,no,3,March
120,Elbert  Klein,Female,31,California,White Collar,2017-03-31,203536.4,divorced,tertiary,no,no,unknown,unknown,no,3,March
121,Lynette  Brewer,Male,37,California,White Collar,2017-03-31,58445.31,divorced,secondary,yes,no,cellular,unknown,no,3,March
122,Kyle  Carr,Male,25,California,Other,2017-03-31,5577.78,married,primary,no,no,cellular,unknown,no,3,March
123,Max  Rodgers,Male,50,California,White Collar,2017-03-31,64527.19,married,secondary,yes,no,unknown,unknown,no,3,March
124,Carla  Mccormick,Male,39,California,Other,2017-04-01,165893.25,married,secondary,no,yes,cellular,unknown,no,4,April
125,Fernando  Rowe,Male,27,California,White Collar,2017-04-01,18375.37,single,tertiary,yes,no,cellular,failure,no,4,April
126,Jaime  Pearson,Male,42,California,White Collar,2017-04-01,83075.39,single,tertiary,no,no,cellular,unknown,yes,4,April
127,Max  Rodgers,Female,27,California,White Collar,2017-04-01,15642.52,single,secondary,no,no,unknown,unknown,no,4,April
128,Della  Jensen,Female,41,California,White Collar,2017-04-01,6487.76,single,secondary,no,yes,cellular,unknown,no,4,April
129,Donna  Reid,Male,47,California,White Collar,2017-04-01,22525.45,single,secondary,no,no,telephone,failure,no,4,April
130,Robert  Munoz,Female,27,California,White Collar,2017-04-01,41399.67,divorced,tertiary,no,no,cellular,unknown,yes,4,April
131,Cindy  Becker,Female,41,California,White Collar,2017-04-01,41128.49,married,primary,yes,no,cellular,unknown,no,4,April
132,Max  Rodgers,Male,20,California,Blue Collar,2017-04-01,14295.01,married,primary,yes,no,unknown,unknown,no,4,April
133,Cindy  Becker,Female,38,California,White Collar,2017-04-02,60382.06,married,unknown,yes,no,unknown,unknown,no,4,April
134,Robert  Munoz,Male,34,California,Blue Collar,2017-04-02,66780.97,married,unknown,yes,no,cellular,failure,no,4,April
135,Jenny  Garcia,Male,42,California,White Collar,2017-04-02,84554.58,single,secondary,yes,no,unknown,unknown,no,4,April
136,Pauline  Beck,Male,26,California,White Collar,2017-04-02,19392.82,single,tertiary,no,no,cellular,unknown,no,4,April
137,Max  Rodgers,Female,43,California,White Collar,2017-04-02,62994.73,single,secondary,yes,yes,cellular,failure,no,4,April
138,Cindy  Becker,Male,37,California,White Collar,2017-04-02,15975.01,single,tertiary,no,no,cellular,unknown,no,4,April
139,Rachel  Gomez,Female,40,California,White Collar,2017-04-02,85282.21,married,tertiary,yes,no,cellular,unknown,yes,4,April
140,Lorraine  Gibson,Male,57,Nevada,Blue Collar,2017-04-02,60461.75,married,unknown,no,no,unknown,unknown,no,4,April
141,Billie  Chandler,Female,45,California,White Collar,2017-04-03,54601.82,divorced,tertiary,no,no,cellular,unknown,no,4,April
142,Lee  Mack,Male,23,California,White Collar,2017-04-03,15296.37,single,tertiary,yes,no,cellular,unknown,no,4,April
143,Dan  Peterson,Male,45,California,Other,2017-04-03,60266.15,divorced,unknown,yes,no,unknown,unknown,no,4,April
144,Robert  Munoz,Male,26,California,White Collar,2017-04-03,6773.51,single,tertiary,yes,no,cellular,unknown,no,4,April
145,Eric  Rose,Male,37,California,White Collar,2017-04-04,133014.82,married,secondary,yes,yes,unknown,unknown,no,4,April
146,Christina  Fuller,Male,41,California,White Collar,2017-04-05,77174.34,married,tertiary,no,yes,cellular,unknown,no,4,April
147,Jenny  Garcia,Male,33,California,White Collar,2017-04-05,7372.88,married,primary,no,yes,unknown,unknown,no,4,April
148,Ellen  Weaver,Female,37,California,White Collar,2017-04-05,72246.18,married,secondary,yes,no,cellular,unknown,no,4,April
149,Eric  Rose,Male,33,California,White Collar,2017-04-05,48456.88,married,secondary,yes,no,cellular,other,no,4,April
150,Jaime  Pearson,Female,29,California,White Collar,2017-04-05,5999.28,single,unknown,yes,no,unknown,unknown,no,4,April
151,Marian  Hill,Male,33,California,White Collar,2017-04-05,7700.42,married,unknown,yes,no,unknown,unknown,no,4,April
152,Blake  Bridges,Male,32,California,White Collar,2017-04-05,76978.94,single,tertiary,yes,yes,cellular,unknown,no,4,April
153,Robert  Munoz,Female,36,California,White Collar,2017-04-05,85102.87,divorced,primary,yes,yes,unknown,unknown,no,4,April
154,Sandra  Floyd,Male,46,California,White Collar,2017-04-05,85618.4,married,secondary,no,no,cellular,unknown,no,4,April
155,Cindy  Becker,Male,33,California,Blue Collar,2017-04-05,2171.06,married,secondary,no,no,unknown,unknown,no,4,April
156,Austin  Reynolds,Male,24,California,Other,2017-04-05,54112.25,divorced,secondary,no,no,cellular,unknown,no,4,April
157,Elvira  Bowman,Male,32,California,White Collar,2017-04-05,37203.58,married,secondary,no,no,cellular,success,yes,4,April
158,Jenny  Garcia,Male,26,California,White Collar,2017-04-05,1505.52,married,secondary,yes,no,cellular,failure,no,4,April
159,Salvador  Bass,Male,30,California,White Collar,2017-04-05,32642.45,single,secondary,no,no,cellular,unknown,no,4,April
160,Cassandra  Franklin,Male,38,California,White Collar,2017-04-05,11346.19,married,secondary,yes,no,cellular,unknown,no,4,April
161,Ben  Perez,Female,42,California,White Collar,2017-04-05,3486.58,married,tertiary,no,no,unknown,unknown,no,4,April
162,Robert  Munoz,Female,36,California,Other,2017-04-05,91852.0,single,secondary,yes,no,unknown,unknown,no,4,April
163,Lance  Yates,Female,39,California,White Collar,2017-04-05,6148.76,single,secondary,no,yes,unknown,unknown,no,4,April
164,Beth  Tucker,Female,59,Nevada,Other,2017-04-05,100781.91,married,secondary,yes,yes,unknown,unknown,no,4,April
165,Cecilia  Manning,Male,52,Nevada,Blue Collar,2017-04-05,6523.87,single,tertiary,no,no,cellular,failure,yes,4,April
166,Patty  Thompson,Male,51,Nevada,Blue Collar,2017-04-05,15266.63,single,secondary,yes,no,unknown,unknown,no,4,April
167,Robert  Munoz,Male,24,Wyoming,Blue Collar,2017-04-05,28453.22,married,secondary,no,no,telephone,unknown,no,4,April
168,Elaine  Ellis,Female,30,Wyoming,White Collar,2017-04-05,46038.55,divorced,secondary,yes,no,cellular,unknown,no,4,April
169,Isabel  Cross,Male,39,California,Blue Collar,2017-04-06,106560.7,married,tertiary,no,no,unknown,unknown,no,4,April
170,Shari  Silva,Female,32,California,Other,2017-04-06,4910.15,single,secondary,yes,yes,cellular,unknown,no,4,April
171,Sandra  Floyd,Male,38,California,White Collar,2017-04-06,19671.99,married,secondary,no,no,unknown,unknown,no,4,April
172,Shari  Silva,Male,42,California,Blue Collar,2017-04-06,93913.88,single,tertiary,no,no,cellular,unknown,no,4,April
173,Trevor  Jones,Female,26,California,White Collar,2017-04-06,139332.75,single,secondary,yes,yes,cellular,other,no,4,April
174,Robert  Munoz,Female,31,California,White Collar,2017-04-06,68772.72,married,secondary,yes,no,cellular,unknown,no,4,April
175,Brooke  Horton,Male,31,California,White Collar,2017-04-06,23859.15,married,tertiary,no,no,cellular,unknown,no,4,April
176,Mable  Lindsey,Female,25,California,White Collar,2017-04-06,40871.43,married,secondary,yes,yes,cellular,unknown,no,4,April
177,Drew  Rogers,Male,35,California,White Collar,2017-04-06,104997.51,married,secondary,yes,yes,cellular,unknown,no,4,April
178,Sonya  Mullins,Male,33,California,Blue Collar,2017-04-06,90667.24,married,secondary,yes,no,cellular,failure,no,4,April
179,Jenny  Garcia,Male,24,California,Blue Collar,2017-04-06,78897.46,married,unknown,no,no,unknown,unknown,no,4,April
180,Brooke  Horton,Male,29,Oregon,Blue Collar,2017-04-06,30620.18,married,tertiary,yes,no,cellular,failure,no,4,April
181,Jenny  Garcia,Female,32,California,White Collar,2017-04-07,148963.51,single,tertiary,yes,yes,cellular,unknown,no,4,April
182,Iris  Underwood,Male,36,California,White Collar,2017-04-07,31694.39,single,secondary,no,yes,cellular,unknown,no,4,April
183,Tiffany  May,Male,31,California,White Collar,2017-04-07,172107.28,single,secondary,yes,no,cellular,unknown,no,4,April
184,Kyle  Carr,Male,33,California,Other,2017-04-07,120244.6,divorced,secondary,no,no,unknown,unknown,no,4,April
185,Salvador  Bass,Male,40,California,Other,2017-04-07,31866.28,married,secondary,yes,no,unknown,unknown,no,4,April
186,Kyle  Carr,Female,51,Nevada,Other,2017-04-07,87989.31,married,tertiary,yes,no,cellular,unknown,no,4,April
187,Dan  Peterson,Female,46,California,White Collar,2017-04-08,60722.99,married,tertiary,yes,no,telephone,success,no,4,April
188,Max  Rodgers,Female,29,California,White Collar,2017-04-08,33819.24,single,secondary,yes,no,cellular,other,no,4,April
189,Edwin  Malone,Female,40,California,White Collar,2017-04-08,14074.7,married,secondary,yes,no,cellular,failure,no,4,April
190,Robert  Munoz,Female,25,California,Other,2017-04-08,87632.34,married,secondary,yes,no,cellular,unknown,yes,4,April
191,Elbert  Klein,Male,51,Nevada,Blue Collar,2017-04-08,1848.67,married,primary,yes,yes,telephone,unknown,no,4,April
192,Isabel  Cross,Male,39,California,White Collar,2017-04-09,72231.61,married,secondary,yes,no,cellular,unknown,no,4,April
193,Sandra  Floyd,Female,44,California,Other,2017-04-10,18331.81,single,tertiary,no,no,cellular,unknown,no,4,April
194,Cassandra  Franklin,Male,40,California,White Collar,2017-04-10,43776.75,married,secondary,no,no,unknown,unknown,no,4,April
195,Drew  Rogers,Female,35,California,White Collar,2017-04-10,24461.37,single,secondary,no,no,cellular,unknown,no,4,April
196,Cassandra  Franklin,Female,32,California,White Collar,2017-04-10,130153.24,divorced,secondary,yes,no,cellular,unknown,no,4,April
197,Trevor  Jones,Male,38,California,Blue Collar,2017-04-11,4687.48,single,secondary,yes,no,unknown,unknown,no,4,April
198,Rachel  Gomez,Male,29,California,White Collar,2017-04-11,3430.25,married,secondary,no,yes,cellular,unknown,no,4,April
199,Della  Jensen,Female,31,California,Blue Collar,2017-04-11,65912.04,married,tertiary,no,no,cellular,unknown,no,4,April
200,Billie  Chandler,Female,47,California,White Collar,2017-04-11,135623.69,married,secondary,no,no,telephone,success,yes,4,April
201,Guillermo  Potter,Male,34,California,Other,2017-04-12,56692.78,single,tertiary,yes,no,cellular,success,no,4,April
202,Donna  Reid,Female,37,California,White Collar,2017-04-12,81536.4,married,secondary,no,no,cellular,unknown,no,4,April
203,Salvador  Bass,Female,40,California,White Collar,2017-04-12,90518.7,single,tertiary,yes,no,cellular,failure,yes,4,April
204,Brooke  Horton,Female,26,California,White Collar,2017-04-12,28198.81,divorced,tertiary,yes,no,cellular,failure,no,4,April
205,Allan  Ramos,Female,25,California,Blue Collar,2017-04-12,118809.51,single,tertiary,no,no,telephone,unknown,yes,4,April
206,Isabel  Cross,Female,36,California,White Collar,2017-04-12,162725.1,single,tertiary,yes,no,cellular,unknown,no,4,April
207,Woodrow  Colon,Male,41,California,White Collar,2017-04-12,110443.85,married,secondary,yes,yes,cellular,unknown,no,4,April
208,Robert  Munoz,Male,39,California,White Collar,2017-04-12,5572.01,married,secondary,yes,no,cellular,failure,no,4,April
209,Sandra  Floyd,Male,39,California,Blue Collar,2017-04-12,34807.97,single,secondary,yes,no,cellular,failure,no,4,April
210,Della  Jensen,Male,44,Nevada,Blue Collar,2017-04-12,96240.55,married,secondary,no,no,cellular,unknown,no,4,April
211,Cecilia  Manning,Male,39,California,White Collar,2017-04-13,78364.43,single,secondary,yes,no,cellular,unknown,no,4,April
212,Donna  Reid,Male,34,California,White Collar,2017-04-13,24729.6,single,secondary,yes,no,unknown,unknown,no,4,April
213,Max  Rodgers,Female,29,California,Blue Collar,2017-04-13,31439.15,married,tertiary,yes,no,cellular,other,no,4,April
214,Isabel  Cross,Female,21,California,Other,2017-04-13,20129.72,married,secondary,no,no,cellular,unknown,no,4,April
215,Bernadette  Page,Male,39,California,Blue Collar,2017-04-13,51250.52,married,tertiary,no,no,cellular,unknown,no,4,April
216,Isabel  Cross,Male,38,California,White Collar,2017-04-13,71859.03,married,tertiary,yes,no,cellular,unknown,yes,4,April
217,Woodrow  Colon,Female,28,California,White Collar,2017-04-13,40310.27,married,secondary,no,no,cellular,unknown,no,4,April
218,Andrew  Meyer,Female,29,California,White Collar,2017-04-14,44636.91,married,secondary,yes,no,cellular,failure,no,4,April
219,Allan  Ramos,Male,25,California,White Collar,2017-04-14,47253.54,married,primary,yes,yes,telephone,unknown,no,4,April
220,Bethany  Pena,Female,38,California,Other,2017-04-14,50012.21,married,secondary,no,no,cellular,unknown,no,4,April
221,Salvador  Bass,Female,45,California,Blue Collar,2017-04-14,3842.75,married,tertiary,yes,no,cellular,unknown,no,4,April
222,Carla  Mccormick,Female,33,California,White Collar,2017-04-14,6077.0,married,secondary,yes,no,unknown,unknown,no,4,April
223,Lance  Yates,Male,32,California,White Collar,2017-04-14,22946.9,married,primary,no,no,unknown,unknown,no,4,April
224,Drew  Rogers,Male,43,California,White Collar,2017-04-14,27019.0,married,primary,no,no,cellular,unknown,no,4,April
225,Sylvester  Morales,Male,31,California,White Collar,2017-04-14,94372.51,married,primary,yes,no,cellular,unknown,no,4,April
226,Edwin  Malone,Male,40,California,White Collar,2017-04-14,14737.97,single,secondary,yes,no,unknown,unknown,no,4,April
